Years,Total Number of Road Accidents (in numbers),Total Number of Persons Killed (in numbers),Total Number of Persons Injured (in numbers),Population of India (in thousands),Total Number of Registered Motor Vehicles (in thousands),Road Length (in kms),Number of Accidents per Lakh Population,Number of Accidents per Ten Thousand Vehicles,Number of Accidents Per Ten Thousand Kms of Roads,Number of Persons Killed Per Lakh Population,Number of Persons Killed Per Ten Thousand Vehicles,Number of Persons Killed per Ten Thousand Kms of Roads,Number of Persons Injured per Lakh Population,Number of Persons Injured Per Ten Thousand Vehicles,Number of Persons Injured Per Ten Thousand Kms of Roads
1970,114100,14500,70100,539000,1401,1188728,21.2,814.4,959.8,2.7,103.5,122,13,500.4,589.7
1980,153200,24000,109100,673000,4521,1491873,22.8,338.9,1026.9,3.6,53.1,160.9,16.2,241.3,731.3
1990,282600,54100,244100,835000,19152,1983867,33.8,147.6,1424.5,6.5,28.2,272.7,29.2,127.5,1230.4
1994,325864,64463,311500,904000,27660,2890950,36,117.8,1127.2,7.1,23.3,223,34.5,112.6,1077.5
1995,351999,70781,323200,924359,30295,2975035,38.1,116.2,1183.2,7.7,23.4,237.9,35,106.7,1086.4
1996,371204,74665,369502,941579,33786,3202515,39.4,109.9,1159.1,7.9,22.1,233.1,39.2,109.4,1153.8
1997,373671,76977,378361,959792,37332,3298788,38.9,100.1,1132.8,8,20.6,233.3,39.4,101.4,1147
1998,385018,79919,390674,978081,41368,3228356,39.4,93.1,1192.6,8.2,19.3,247.6,39.9,94.4,1210.1
1999,386456,81966,375051,996130,44875,3296650,38.8,86.1,1172.3,8.2,18.3,248.6,37.7,83.6,1137.7
2000,391449,78911,399265,1014825,48857,3316078,38.6,80.1,1180.5,7.8,16.2,238,39.3,81.7,1204
2001,405637,80888,405216,1028610,54991,3373520,39.4,73.8,1202.4,7.9,14.7,239.8,39.4,73.7,1201.2
2002,407497,84674,408711,1045547,58924,3426603,39,69.2,1189.2,8.1,14.4,247.1,39.1,69.4,1192.8
2003,406726,85998,435122,1062388,67007,3528654,38.3,60.7,1152.6,8.1,12.8,243.7,41,64.9,1233.1
2004,429910,92618,464521,1079117,72718,3621507,39.8,59.1,1187.1,8.6,12.7,255.7,43,63.9,1282.7
2005,439255,94968,465282,1095722,81502,3809156,40.1,53.9,1153.2,8.7,11.7,249.3,42.5,57.1,1221.5
2006,460920,105749,496481,1112186,89618,3880651,41.4,51.4,1187.7,9.5,11.8,272.5,44.6,55.4,1279.4
2007,479216,114444,513340,1128521,96707,4016401,42.5,49.6,1193.1,10.1,11.8,284.9,45.5,53.1,1278.1
2008,484704,119860,523193,1144734,105353,4109592,42.3,46,1179.4,10.5,11.4,291.7,45.7,49.7,1273.1
2009,486384,125660,515458,1160813,114951,4471510,41.9,42.3,1087.7,10.8,10.9,281,44.4,44.8,1152.8
2010,499628,134513,527512,1176742,127746,4582439,42.5,39.1,1090.3,11.4,10.5,293.5,44.8,41.3,1151.2
2011,497686,142485,511394,1210193,141866,4676838,41.1,35.1,1064.2,11.8,10,304.7,42.3,36,1093.5
2012,490383,138258,509667,1208116,159491,4865394,40.6,30.7,1007.9,11.4,8.7,284.2,42.2,32,1047.5
2013,486476,137572,494893,1223581,181508,5231922,39.8,26.8,929.8,11.2,7.6,262.9,40.4,27.3,945.9
2014,489400,139671,493474,1238887,190704,5402486,39.5,25.7,905.9,11.3,7.3,258.5,39.8,25.9,913.4
2015,501423,146133,500279,1254019,210023,5472144,40,23.9,916.3,11.7,7,267,39.9,23.8,914.2
2016,480652,150785,494624,1268961,230031,5603293,37.9,20.9,857.8,11.9,6.6,269.1,36.7,21.5,882.7
2017,464910,147913,470975,1283601,253311,5897671,36.2,18.4,788.3,11.5,5.8,250.8,36.2,18.6,798.6
2018,467044,151417,469418,1298043,NA,NA,36,NA,NA,11.7,NA,NA,NA,NA,NA
CAGR 2008/2018,-0.37,2.36,-1.08,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
